0.93	0.07
1.00	0.00
0.98	0.02
1.00	0.00
1.00	0.00
0.98	0.02
0.98	0.02
1.00	0.00
1.00	0.00
0.35	0.65
0.69	0.31
1.00	0.00
0.99	0.01
0.95	0.05
0.33	0.67
0.85	0.15
0.04	0.96
0.96	0.04
1.00	0.00
0.76	0.24
1.00	0.00
0.78	0.22
0.52	0.48
0.93	0.07
1.00	0.00
1.00	0.00
0.93	0.07
1.00	0.00
1.00	0.00
0.99	0.01
1.00	0.00
1.00	0.00
0.95	0.05
1.00	0.00
1.00	0.00
0.64	0.36
0.95	0.05
1.00	0.00
0.99	0.01
0.45	0.55
0.96	0.04
0.96	0.04
0.19	0.81
0.22	0.78
0.30	0.70
1.00	0.00
0.99	0.01
0.21	0.79
1.00	0.00
0.00	1.00
0.44	0.56
0.97	0.03
1.00	0.00
1.00	0.00
1.00	0.00
0.87	0.13
1.00	0.00
0.97	0.03
0.61	0.39
1.00	0.00
0.95	0.05
0.01	0.99
1.00	0.00
0.97	0.03
1.00	0.00
0.03	0.97
1.00	0.00
0.68	0.32
0.99	0.01
0.72	0.28
0.08	0.92
1.00	0.00
0.70	0.30
0.96	0.04
0.80	0.20
0.01	0.99
0.99	0.01
0.66	0.34
0.28	0.72
1.00	0.00
1.00	0.00
1.00	0.00
0.01	0.99
0.02	0.98
0.35	0.65
0.86	0.14
0.96	0.04
0.47	0.53
0.30	0.70
1.00	0.00
0.96	0.04
0.33	0.67
1.00	0.00
0.70	0.30
0.43	0.57
0.90	0.10
0.82	0.18
0.76	0.24
1.00	0.00
0.86	0.14
1.00	0.00
0.03	0.97
0.52	0.48
1.00	0.00
0.43	0.57
0.51	0.49
0.82	0.17
0.98	0.02
1.00	0.00
0.78	0.23
0.52	0.48
1.00	0.00
0.31	0.69
1.00	0.00
1.00	0.00
0.91	0.09
0.74	0.26
0.99	0.01
0.64	0.36
0.02	0.98
0.93	0.07
0.84	0.16
1.00	0.00
0.07	0.93
0.92	0.08
1.00	0.00
0.85	0.15
0.84	0.16
1.00	0.00
0.99	0.01
1.00	0.00
0.82	0.18
1.00	0.00
0.41	0.59
0.39	0.61
0.07	0.93
1.00	0.00
1.00	0.00
0.77	0.23
0.62	0.38
1.00	0.00
0.58	0.42
0.62	0.38
0.67	0.33
1.00	0.00
0.25	0.75
1.00	0.00
0.43	0.57
1.00	0.00
1.00	0.00
0.97	0.03
0.60	0.40
1.00	0.00
1.00	0.00
0.37	0.63
1.00	0.00
0.99	0.01
1.00	0.00
0.31	0.69
0.99	0.01
0.94	0.06
1.00	0.00
0.99	0.01
0.90	0.10
0.47	0.53
1.00	0.00
1.00	0.00
1.00	0.00
1.00	0.00
0.85	0.15
0.34	0.66
0.92	0.08
0.99	0.01
1.00	0.00
